"anonyme_id","response","swahili","english","notes"
"184723","nk","ukukwi","green_spotted_snake",NA
"184723","b","mwani","seaweed",NA
"184723","nk","kasa_kutaga","turtles_return",NA
"184723","b","koa","snails",NA
"184723","b","ngawa","civets",NA
"184723","b","komba_lala","bushbabies_sleep",NA
"184723","nk","mkuu","mkuu_wa_usiku_tree",NA
"184723","a","koogwe","vervet_monkey","VIJINU A"
"184723","b","komba_ndizi","bushbabies_bananas",NA
"184723","b","popo_masikio","bats_ears",NA
"184723","a","popo_uchafu","bats_excrements",NA
"184723","a","chewa","groupers",NA
"184723","a","ndizi","banana_cooking",NA
"184723","b","taa","rays",NA
"184723","b","nyangumi","whales",NA
"184723","b","mgulele","mgulele_tree",NA
"184723","a","kubanja","crack_open",NA
"184723","b","pelele_vidole","hyraxes_fingers",NA
"184723","b","ulaya","ulaya_tree",NA
"184723","nk","chepu","fly_larvae","KAMBA A"
"184723","a","dau","boat_building_wood",NA
"184723","b","mjusi","geckos",NA
"184723","b","nduaro","tunas",NA
"184723","b","viazi","sweet_potatoes",NA
"184723","b","pweza","octopus",NA
"184723","b","kichachuli","young_monkey",NA
"184723","b","kasa","turtles_travel",NA
"184723","nk","papa","sharks_dangerous","UFUKWENI DONT KNOW"
"184723","b","mbiliwili","swifts",NA
"184723","a","salile","ducks",NA
"184723","b","matunda","fruit",NA
"184723","a","pomboo","dolphins",NA
"184723","b","minazi","coconut",NA
"184723","nk","chamvi","caterpillar",NA
"184723","a","chale","lionfishes",NA
"184723","a","bocho","frogfishes",NA
"184723","a","mjafari","mjafari_plant",NA
"184723","b","panga","pin_shells",NA
"186802","b","popo_mayai","bat_reproduction",NA
"186802","b","pelele_panda","hyraxes_climb_trees","MIKANDAA B"
"186802","b","kambare","catfishes",NA
"186802","a","koho","vultures","MBAAZI A"
"186802","a","kijimbi","kingfishers","NGISI A"
"186802","b","papa","sharks_offspring",NA
"186802","a","ukukwi","green_spotted_snake",NA
"186802","b","mwani","seaweed",NA
"186802","b","kasa_kutaga","turtles_return",NA
"186802","a","koa","snails",NA
"186802","a","ngawa","civets",NA
"186802","a","komba_lala","bushbabies_sleep",NA
"186802","b","mkuu","mkuu_wa_usiku_tree",NA
"186802","b","koogwe","vervet_monkey","VIJINU A"
"186802","b","komba_ndizi","bushbabies_bananas",NA
"186802","a","popo_masikio","bats_ears",NA
"186802","a","popo_uchafu","bats_excrements",NA
"186802","a","chewa","groupers",NA
"186802","a","ndizi","banana_cooking",NA
"186802","b","taa","rays",NA
"186802","a","nyangumi","whales",NA
"186802","b","mgulele","mgulele_tree",NA
"186802","b","kubanja","crack_open",NA
"186802","b","pelele_vidole","hyraxes_fingers",NA
"186802","b","ulaya","ulaya_tree",NA
"186802","b","chepu","fly_larvae","KAMBA A"
"186802","b","dau","boat_building_wood",NA
"186802","a","mjusi","geckos",NA
"186802","a","nduaro","tunas",NA
"186802","b","viazi","sweet_potatoes",NA
"186802",NA,"pweza","octopus","NJORO"
"186802","b","kichachuli","young_monkey",NA
"186802","a","kasa","turtles_travel",NA
"186802","b","papa","sharks_dangerous","UFUKWENI A"
"186802","a","mbiliwili","swifts",NA
"186802","b","salile","ducks",NA
"186802","a","matunda","fruit",NA
"186802","a","pomboo","dolphins",NA
"186802","a","minazi","coconut",NA
